query_id,variant,num_retrieved_chunk_ids,num_citations,citation_valid
Q001,V1,3,2,True
Q001,V2,3,2,True
Q001,V3,3,3,True
Q002,V1,3,3,True
Q002,V2,3,3,True
Q002,V3,3,3,True
Q003,V1,3,2,True
Q003,V2,3,2,True
Q003,V3,3,3,True
Q004,V1,3,3,True
Q004,V2,3,3,True
Q004,V3,3,3,True
Q005,V1,3,3,True
Q005,V2,3,3,True
Q005,V3,3,2,True
Q006,V1,3,3,True
Q006,V2,3,3,True
Q006,V3,3,3,True
Q007,V1,3,3,True
Q007,V2,3,3,True
Q007,V3,3,2,True
Q008,V1,3,1,True
Q008,V2,3,1,True
Q008,V3,3,2,True
Q009,V1,3,3,True
Q009,V2,3,3,True
Q009,V3,3,2,True
Q010,V1,3,3,True
Q010,V2,3,2,True
Q010,V3,3,3,True
Q011,V1,3,2,True
Q011,V2,3,2,True
Q011,V3,3,3,True
Q012,V1,3,2,True
Q012,V2,3,2,True
Q012,V3,3,3,True
Q013,V1,3,3,True
Q013,V2,3,3,True
Q013,V3,3,3,True
Q014,V1,3,3,True
Q014,V2,3,3,True
Q014,V3,3,3,True
Q015,V1,3,3,True
Q015,V2,3,3,True
Q015,V3,3,3,True
Q016,V1,3,3,True
Q016,V2,3,3,True
Q016,V3,3,2,True
Q017,V1,3,3,True
Q017,V2,3,3,True
Q017,V3,3,3,True
Q018,V1,3,2,True
Q018,V2,3,2,True
Q018,V3,3,2,True
Q019,V1,3,3,True
Q019,V2,3,3,True
Q019,V3,3,2,True
Q020,V1,3,3,True
Q020,V2,3,3,True
Q020,V3,3,1,True
Q021,V1,3,2,True
Q021,V2,3,2,True
Q021,V3,3,3,True
Q022,V1,3,1,True
Q022,V2,3,3,True
Q022,V3,3,3,True
Q023,V1,3,2,True
Q023,V2,3,2,True
Q023,V3,3,3,True
Q024,V1,3,3,True
Q024,V2,3,3,True
Q024,V3,3,3,True
Q025,V1,3,3,True
Q025,V2,3,3,True
Q025,V3,3,3,True
Q026,V1,3,3,True
Q026,V2,3,3,True
Q026,V3,3,3,True
Q027,V1,3,3,True
Q027,V2,3,2,True
Q027,V3,3,3,True
Q028,V1,3,2,True
Q028,V2,3,2,True
Q028,V3,3,3,True
Q029,V1,3,3,True
Q029,V2,3,2,True
Q029,V3,3,3,True
Q030,V1,3,3,True
Q030,V2,3,3,True
Q030,V3,3,3,True
Q031,V1,3,2,True
Q031,V2,3,2,True
Q031,V3,3,2,True
Q032,V1,3,2,True
Q032,V2,3,2,True
Q032,V3,3,3,True
Q033,V1,3,2,True
Q033,V2,3,2,True
Q033,V3,3,2,True
Q034,V1,3,3,True
Q034,V2,3,3,True
Q034,V3,3,3,True
Q035,V1,3,2,True
Q035,V2,3,2,True
Q035,V3,3,3,True
Q036,V1,3,3,True
Q036,V2,3,3,True
Q036,V3,3,3,True
Q037,V1,3,2,True
Q037,V2,3,2,True
Q037,V3,3,3,True
Q038,V1,3,3,True
Q038,V2,3,3,True
Q038,V3,3,2,True
Q039,V1,3,3,True
Q039,V2,3,3,True
Q039,V3,3,3,True
Q040,V1,3,3,True
Q040,V2,3,3,True
Q040,V3,3,3,True
Q041,V1,3,3,True
Q041,V2,3,3,True
Q041,V3,3,3,True
Q042,V1,3,3,True
Q042,V2,3,3,True
Q042,V3,3,2,True
Q043,V1,3,2,True
Q043,V2,3,2,True
Q043,V3,3,2,True
Q044,V1,3,2,True
Q044,V2,3,2,True
Q044,V3,3,3,True
Q045,V1,3,3,True
Q045,V2,3,3,True
Q045,V3,3,2,True
Q046,V1,3,2,True
Q046,V2,3,2,True
Q046,V3,3,2,True
Q047,V1,3,3,True
Q047,V2,3,3,True
Q047,V3,3,2,True
Q048,V1,3,3,True
Q048,V2,3,3,True
Q048,V3,3,3,True
Q049,V1,3,3,True
Q049,V2,3,3,True
Q049,V3,3,2,True
Q050,V1,3,3,True
Q050,V2,3,3,True
Q050,V3,3,1,True
Q051,V1,3,3,True
Q051,V2,3,3,True
Q051,V3,3,3,True
Q052,V1,3,3,True
Q052,V2,3,2,True
Q052,V3,3,3,True
Q053,V1,3,3,True
Q053,V2,3,3,True
Q053,V3,3,3,True
Q054,V1,3,3,True
Q054,V2,3,3,True
Q054,V3,3,3,True
Q055,V1,3,3,True
Q055,V2,3,3,True
Q055,V3,3,3,True
Q056,V1,3,3,True
Q056,V2,3,3,True
Q056,V3,3,3,True
Q057,V1,3,3,True
Q057,V2,3,3,True
Q057,V3,3,3,True
Q058,V1,3,3,True
Q058,V2,3,3,True
Q058,V3,3,3,True
Q059,V1,3,3,True
Q059,V2,3,3,True
Q059,V3,3,3,True
Q060,V1,3,2,True
Q060,V2,3,2,True
Q060,V3,3,3,True
Q061,V1,3,3,True
Q061,V2,3,3,True
Q061,V3,3,2,True
Q062,V1,3,3,True
Q062,V2,3,3,True
Q062,V3,3,3,True
Q063,V1,3,2,True
Q063,V2,3,3,True
Q063,V3,3,2,True
Q064,V1,3,3,True
Q064,V2,3,3,True
Q064,V3,3,3,True
Q065,V1,3,2,True
Q065,V2,3,3,True
Q065,V3,3,2,True
Q066,V1,3,2,True
Q066,V2,3,2,True
Q066,V3,3,3,True
Q067,V1,3,3,True
Q067,V2,3,3,True
Q067,V3,3,3,True
Q068,V1,3,2,True
Q068,V2,3,2,True
Q068,V3,3,3,True
Q069,V1,3,2,True
Q069,V2,3,2,True
Q069,V3,3,2,True
Q070,V1,3,3,True
Q070,V2,3,3,True
Q070,V3,3,3,True
Q071,V1,3,3,True
Q071,V2,3,3,True
Q071,V3,3,3,True
Q072,V1,3,3,True
Q072,V2,3,3,True
Q072,V3,3,2,True
Q073,V1,3,3,True
Q073,V2,3,3,True
Q073,V3,3,2,True
Q074,V1,3,2,True
Q074,V2,3,2,True
Q074,V3,3,3,True
Q075,V1,3,2,True
Q075,V2,3,2,True
Q075,V3,3,3,True
Q076,V1,3,3,True
Q076,V2,3,3,True
Q076,V3,3,2,True
Q077,V1,3,3,True
Q077,V2,3,3,True
Q077,V3,3,3,True
Q078,V1,3,3,True
Q078,V2,3,3,True
Q078,V3,3,3,True
Q079,V1,3,3,True
Q079,V2,3,1,True
Q079,V3,3,3,True
Q080,V1,3,3,True
Q080,V2,3,3,True
Q080,V3,3,3,True
Q081,V1,3,2,True
Q081,V2,3,3,True
Q081,V3,3,2,True
Q082,V1,3,3,True
Q082,V2,3,3,True
Q082,V3,3,1,True
Q083,V1,3,3,True
Q083,V2,3,2,True
Q083,V3,3,2,True
Q084,V1,3,3,True
Q084,V2,3,3,True
Q084,V3,3,2,True
Q085,V1,3,2,True
Q085,V2,3,3,True
Q085,V3,3,1,True
Q086,V1,3,3,True
Q086,V2,3,2,True
Q086,V3,3,2,True
Q087,V1,3,2,True
Q087,V2,3,2,True
Q087,V3,3,2,True
Q088,V1,3,2,True
Q088,V2,3,2,True
Q088,V3,3,2,True
Q089,V1,3,2,True
Q089,V2,3,2,True
Q089,V3,3,3,True
Q090,V1,3,3,True
Q090,V2,3,3,True
Q090,V3,3,2,True
Q091,V1,3,3,True
Q091,V2,3,3,True
Q091,V3,3,3,True
Q092,V1,3,3,True
Q092,V2,3,3,True
Q092,V3,3,3,True
Q093,V1,3,2,True
Q093,V2,3,2,True
Q093,V3,3,3,True
Q094,V1,3,3,True
Q094,V2,3,3,True
Q094,V3,3,3,True
Q095,V1,3,3,True
Q095,V2,3,3,True
Q095,V3,3,3,True
Q096,V1,3,3,True
Q096,V2,3,3,True
Q096,V3,3,3,True
Q097,V1,3,3,True
Q097,V2,3,3,True
Q097,V3,3,3,True
Q098,V1,3,2,True
Q098,V2,3,2,True
Q098,V3,3,3,True
Q099,V1,3,3,True
Q099,V2,3,3,True
Q099,V3,3,3,True
Q100,V1,3,3,True
Q100,V2,3,3,True
Q100,V3,3,3,True
