deep_dive_group,deep_dive_rationale,query_id,variant,retrieval_variant,model_name,topic,difficulty,question,proxy_composite,context_relevance_proxy,answer_relevance_proxy,faithfulness_proxy,answer_text_plain,answer_text,context_1,source_1,context_2,source_2,context_3,source_3
Q052,Clear V2 win: improved retrieval focus and best balanced answer on etcd encryption-at-rest.,Q052,V2,V2,Gemma-2-2B-IT,etcd_and_data_protection,basic,Why should confidential Kubernetes data be encrypted at rest?,0.8941,0.8182,0.8641,1.0,"Encrypting confidential Kubernetes data at rest provides an additional layer of security by protecting data from unauthorized access even if the underlying storage is compromised. This is important for sensitive data like secrets, as it ensures that even if the data is stolen, it cannot be read without the encryption key.","Encrypting confidential Kubernetes data at rest provides an additional layer of security by protecting data from unauthorized access even if the underlying storage is compromised. This is important for sensitive data like secrets, as it ensures that even if the data is stolen, it cannot be read without the encryption key.

[k8s_operational_security_docs__docs_tasks_administer_cluster_encrypt_data__encrypting_confidential_data_at_rest__0001__chunk_0001, k8s_security_observability_book__wp_content_uploads_2023_12_kubernetes_security_and_observability_pdf__page_0157__chunk_0002]","All of the APIs in Kubernetes that let you write persistent API resource data support at-rest encryption. For example, you can enable at-rest encryption for Secrets. This at-rest encryption is additional to any system-level encryption for the etcd cluster or for the filesystem(s) on hosts where you are running the kube-apiserver. This page shows how to enable and configure encryption of API data at rest.",k8s_operational_security_docs,"This task covers encryption for resource data stored using the Kubernetes API. For example, you can encrypt Secret objects, including the key-value data they contain. If you want to encrypt data in filesystems that are mounted into containers, you instead need to either: use a storage integration that provides encrypted volumes encrypt the data within your own application",k8s_operational_security_docs,"However, from the perspective of operational simplicity and ease of compliance auditing, it often makes sense to encrypt all data in transit between your microservices, rather than trying to do it selectively.Even if you do not have strong requirements imposed by external compliance stand‐ ards, it can still be a very good practice to encrypt data in transit. Without encryp‐ tion, malicious actors with network access could see sensitive information. How you assess this risk may vary depending on whether you are using public cloud or onprem/private cloud infrastructure, and the internal security processes you have in place as an organization. In most cases, if you are handling sensitive data, then you should really be encrypting data in transit.",k8s_security_observability_book
Q052,Clear V2 win: improved retrieval focus and best balanced answer on etcd encryption-at-rest.,Q052,QW_V1,V1,Qwen2.5-3B-Instruct,etcd_and_data_protection,basic,Why should confidential Kubernetes data be encrypted at rest?,0.7852,0.5333,0.8223,1.0,"Confidential Kubernetes data should be encrypted at rest to protect it from unauthorized access. By enabling at-rest encryption, you add an extra layer of security beyond the encryption provided by etcd or host filesystems. This ensures that even if data is accessed without proper authentication, it remains unreadable.","Confidential Kubernetes data should be encrypted at rest to protect it from unauthorized access. By enabling at-rest encryption, you add an extra layer of security beyond the encryption provided by etcd or host filesystems. This ensures that even if data is accessed without proper authentication, it remains unreadable.

[k8s_operational_security_docs__docs_tasks_administer_cluster_encrypt_data__encrypting_confidential_data_at_rest__0001__chunk_0001, k8s_operational_security_docs__docs_tasks_administer_cluster_encrypt_data__encrypting_confidential_data_at_rest__note__0002__chunk_0001, k8s_operational_security_docs__docs_tasks_administer_cluster_encrypt_data__encrypting_confidential_data_at_rest__understanding_the_encryption_at_rest_configuration__0005__chunk_0003]","All of the APIs in Kubernetes that let you write persistent API resource data support at-rest encryption. For example, you can enable at-rest encryption for Secrets. This at-rest encryption is additional to any system-level encryption for the etcd cluster or for the filesystem(s) on hosts where you are running the kube-apiserver. This page shows how to enable and configure encryption of API data at rest.",k8s_operational_security_docs,"This task covers encryption for resource data stored using the Kubernetes API. For example, you can encrypt Secret objects, including the key-value data they contain. If you want to encrypt data in filesystems that are mounted into containers, you instead need to either: use a storage integration that provides encrypted volumes encrypt the data within your own application",k8s_operational_security_docs,"The resources.resources field is an array of Kubernetes resource names ( resource or resource.group ) that should be encrypted like Secrets, ConfigMaps, or other resources. resources resources.resources resource resource.group If custom resources are added to EncryptionConfiguration and the cluster version is 1.26 or newer, any newly created custom resources mentioned in the EncryptionConfiguration will be encrypted. Any custom resources that existed in etcd prior to that version and configuration will be unencrypted until they are next written to storage. This is the same behavior as built-in resources. See the Ensure all secrets are encrypted section. EncryptionConfiguration The providers array is an ordered list of the possible encryption providers to use for the APIs that you listed. Each provider supports multiple keys - the keys are tried in order for decryption, and if the provider is the first provider, the first key is used for encryption. providers Only one provider type may be specified per entry ( identity or aescbc may be provided, but not both in the same item).",k8s_operational_security_docs
Q052,Clear V2 win: improved retrieval focus and best balanced answer on etcd encryption-at-rest.,Q052,V1,V1,Gemma-2-2B-IT,etcd_and_data_protection,basic,Why should confidential Kubernetes data be encrypted at rest?,0.7742,0.5333,0.7892,1.0,"Confidential Kubernetes data should be encrypted at rest to protect it from unauthorized access. This is in addition to any system-level encryption already in place. You can encrypt Secrets, ConfigMaps, and other resources.","Confidential Kubernetes data should be encrypted at rest to protect it from unauthorized access. This is in addition to any system-level encryption already in place. You can encrypt Secrets, ConfigMaps, and other resources. [k8s_operational_security_docs__docs_tasks_administer_cluster_encrypt_data__encrypting_confidential_data_at_rest__0001__chunk_0001, k8s_operational_security_docs__docs_tasks_administer_cluster_encrypt_data__encrypting_confidential_data_at_rest__note__0002__chunk_0001, k8s_operational_security_docs__docs_tasks_administer_cluster_encrypt_data__encrypting_confidential_data_at_rest__understanding_the_encryption

[k8s_operational_security_docs__docs_tasks_administer_cluster_encrypt_data__encrypting_confidential_data_at_rest__0001__chunk_0001, k8s_operational_security_docs__docs_tasks_administer_cluster_encrypt_data__encrypting_confidential_data_at_rest__note__0002__chunk_0001, k8s_operational_security_docs__docs_tasks_administer_cluster_encrypt_data__encrypting_confidential_data_at_rest__understanding_the_encryption_at_rest_configuration__0005__chunk_0003]","All of the APIs in Kubernetes that let you write persistent API resource data support at-rest encryption. For example, you can enable at-rest encryption for Secrets. This at-rest encryption is additional to any system-level encryption for the etcd cluster or for the filesystem(s) on hosts where you are running the kube-apiserver. This page shows how to enable and configure encryption of API data at rest.",k8s_operational_security_docs,"This task covers encryption for resource data stored using the Kubernetes API. For example, you can encrypt Secret objects, including the key-value data they contain. If you want to encrypt data in filesystems that are mounted into containers, you instead need to either: use a storage integration that provides encrypted volumes encrypt the data within your own application",k8s_operational_security_docs,"The resources.resources field is an array of Kubernetes resource names ( resource or resource.group ) that should be encrypted like Secrets, ConfigMaps, or other resources. resources resources.resources resource resource.group If custom resources are added to EncryptionConfiguration and the cluster version is 1.26 or newer, any newly created custom resources mentioned in the EncryptionConfiguration will be encrypted. Any custom resources that existed in etcd prior to that version and configuration will be unencrypted until they are next written to storage. This is the same behavior as built-in resources. See the Ensure all secrets are encrypted section. EncryptionConfiguration The providers array is an ordered list of the possible encryption providers to use for the APIs that you listed. Each provider supports multiple keys - the keys are tried in order for decryption, and if the provider is the first provider, the first key is used for encryption. providers Only one provider type may be specified per entry ( identity or aescbc may be provided, but not both in the same item).",k8s_operational_security_docs
Q052,Clear V2 win: improved retrieval focus and best balanced answer on etcd encryption-at-rest.,Q052,QW_V3,V3,Qwen2.5-3B-Instruct,etcd_and_data_protection,basic,Why should confidential Kubernetes data be encrypted at rest?,0.7347,0.4706,0.7335,1.0,"Confidential Kubernetes data should be encrypted at rest to protect against unauthorized access. Storing secrets in plain text exposes them to potential attackers who might gain access to etcd, the database containing any information accessible via the Kubernetes API. Encryption ensures that even if an attacker gains access to etcd backups, they cannot read the contents of the secrets. This practice is supported by Kubernetes starting from version 1.7 and is particularly important given the risk associated with etcd's plaintext storage of secrets.","Confidential Kubernetes data should be encrypted at rest to protect against unauthorized access. Storing secrets in plain text exposes them to potential attackers who might gain access to etcd, the database containing any information accessible via the Kubernetes API. Encryption ensures that even if an attacker gains access to etcd backups, they cannot read the contents of the secrets. This practice is supported by Kubernetes starting from version 1.7 and is particularly important given the risk associated with etcd's plaintext storage of secrets.

[owasp_k8s_cheatsheet__cheatsheets_kubernetes_security_cheat_sheet_html__kubernetes_security_cheat_sheet__section_4_kubernetes_security_best_practices_deploy_phase__securing_data__encrypt_secrets_at_rest__0046__chunk_0001, k8s_security_docs__docs_tasks_administer_cluster_securing_a_cluster__securing_a_cluster__protecting_cluster_components_from_compromise__encrypt_secrets_at_rest__0021__chunk_0001, k8s_security_observability_book__wp_content_uploads_2023_12_kubernetes_security_and_observability_pdf__page_0064__chunk_0001]","Always encrypt your backups using a well reviewed backup and encryption solution and consider using full disk encryption where possible, because the etcd database contains any information accessible via the Kubernetes API. Access to this database could provide an attacker with significant visibility into the state of your cluster. Kubernetes supports encryption at rest, a feature introduced in 1.7, and v1 beta since 1.13, which will encrypt Secret resources in etcd and prevent parties with access to your etcd backups from viewing the content of those secrets. While this feature is currently beta, it offers an additional level of defense when backups are not encrypted or an attacker gains read access to etcd.",owasp_k8s_cheatsheet,"In general, the etcd database will contain any information accessible via the Kubernetes API and may grant an attacker significant visibility into the state of your cluster. Always encrypt your backups using a well reviewed backup and encryption solution, and consider using full disk encryption where possible. Kubernetes supports optional encryption at rest for information in the Kubernetes API. This lets you ensure that when Kubernetes stores data for objects (for example, Secret or ConfigMap objects), the API server writes an encrypted representation of the object. That encryption means that even someone who has access to etcd backup data is unable to view the content of those objects. In Kubernetes 1.36 you can also encrypt custom resources; encryption-at-rest for extension APIs defined in CustomResourceDefinitions was added to Kubernetes as part of the v1.26 release. Secret ConfigMap",k8s_security_docs,"Etcd provides strong concurrency primitives, linearizable reads, and APIs to manage secrets at scale. The downside of this approach is secrets are stored in plain text (Base64 encoding) and are retrieved and sent in plain text unless etcd is configured to encrypt communication using TLS. In Chapter 2, you learned the strategy to encrypt data at rest, where secrets can be encrypted while they are stored in etcd. Additionally, secrets stored in etcd are not versioned or recoverable once deleted, and access to etcd is not audited, so anyone who has access to etcd can access all secrets. Since etcd is a Kubernetes datastore, the broader secrets management requirements of the organization are not fulfilled. Secrets Management Service To solve the organization’s encryption and secrets management requirement, secrets management services can be utilized from cloud providers. All major public cloud providers provide secrets management services.",k8s_security_observability_book
Q052,Clear V2 win: improved retrieval focus and best balanced answer on etcd encryption-at-rest.,Q052,V3,V3,Gemma-2-2B-IT,etcd_and_data_protection,basic,Why should confidential Kubernetes data be encrypted at rest?,0.7157,0.4706,0.6764,1.0,"Confidential Kubernetes data, like secrets, should be encrypted at rest because the etcd database, which stores secrets, is accessible via the Kubernetes API. This means an attacker with access to etcd backups could potentially view the content of those secrets. Kubernetes supports encryption at rest, which will encrypt Secret resources in etcd and prevent parties with access to your etcd backups from viewing the content of those secrets.","Confidential Kubernetes data, like secrets, should be encrypted at rest because the etcd database, which stores secrets, is accessible via the Kubernetes API. This means an attacker with access to etcd backups could potentially view the content of those secrets. Kubernetes supports encryption at rest, which will encrypt Secret resources in etcd and prevent parties with access to your etcd backups from viewing the content of those secrets.

[owasp_k8s_cheatsheet__cheatsheets_kubernetes_security_cheat_sheet_html__kubernetes_security_cheat_sheet__section_4_kubernetes_security_best_practices_deploy_phase__securing_data__encrypt_secrets_at_rest__0046__chunk_0001, k8s_security_docs__docs_tasks_administer_cluster_securing_a_cluster__securing_a_cluster__protecting_cluster_components_from_compromise__encrypt_secrets_at_rest__0021__chunk_0001, k8s_security_observability_book__wp_content_uploads_2023_12_kubernetes_security_and_observability_pdf__page_0064__chunk_0001]","Always encrypt your backups using a well reviewed backup and encryption solution and consider using full disk encryption where possible, because the etcd database contains any information accessible via the Kubernetes API. Access to this database could provide an attacker with significant visibility into the state of your cluster. Kubernetes supports encryption at rest, a feature introduced in 1.7, and v1 beta since 1.13, which will encrypt Secret resources in etcd and prevent parties with access to your etcd backups from viewing the content of those secrets. While this feature is currently beta, it offers an additional level of defense when backups are not encrypted or an attacker gains read access to etcd.",owasp_k8s_cheatsheet,"In general, the etcd database will contain any information accessible via the Kubernetes API and may grant an attacker significant visibility into the state of your cluster. Always encrypt your backups using a well reviewed backup and encryption solution, and consider using full disk encryption where possible. Kubernetes supports optional encryption at rest for information in the Kubernetes API. This lets you ensure that when Kubernetes stores data for objects (for example, Secret or ConfigMap objects), the API server writes an encrypted representation of the object. That encryption means that even someone who has access to etcd backup data is unable to view the content of those objects. In Kubernetes 1.36 you can also encrypt custom resources; encryption-at-rest for extension APIs defined in CustomResourceDefinitions was added to Kubernetes as part of the v1.26 release. Secret ConfigMap",k8s_security_docs,"Etcd provides strong concurrency primitives, linearizable reads, and APIs to manage secrets at scale. The downside of this approach is secrets are stored in plain text (Base64 encoding) and are retrieved and sent in plain text unless etcd is configured to encrypt communication using TLS. In Chapter 2, you learned the strategy to encrypt data at rest, where secrets can be encrypted while they are stored in etcd. Additionally, secrets stored in etcd are not versioned or recoverable once deleted, and access to etcd is not audited, so anyone who has access to etcd can access all secrets. Since etcd is a Kubernetes datastore, the broader secrets management requirements of the organization are not fulfilled. Secrets Management Service To solve the organization’s encryption and secrets management requirement, secrets management services can be utilized from cloud providers. All major public cloud providers provide secrets management services.",k8s_security_observability_book
Q048,Clear V3 win: intent-enriched retrieval better surfaces the hostNetwork / NetworkPolicy interaction.,Q048,V3,V3,Gemma-2-2B-IT,network_policy_and_traffic_isolation,intermediate,Why are hostNetwork pods a concern in a hardened cluster?,0.9131,0.8462,0.8931,1.0,"HostNetwork pods pose a security risk because they allow pods to directly access the host's network, potentially exposing the host to attacks. This can be a major vulnerability in a hardened cluster, as it bypasses the usual security controls like NetworkPolicies.","HostNetwork pods pose a security risk because they allow pods to directly access the host's network, potentially exposing the host to attacks. This can be a major vulnerability in a hardened cluster, as it bypasses the usual security controls like NetworkPolicies. [k8s_security_observability_book__wp_content_uploads_2023_12_kubernetes_security_and_observability_pdf__page_0051__chunk_0001, k8s_security_docs__docs_concepts_security__security__kubernetes_security_mechanisms__workload_protection__0005__chunk_0001, k8s_security_docs__docs_concepts_security_application_security_checklist__application_security_checklist__base_security_hardening__network_policies__00

[k8s_security_observability_book__wp_content_uploads_2023_12_kubernetes_security_and_observability_pdf__page_0051__chunk_0001, k8s_security_docs__docs_concepts_security__security__kubernetes_security_mechanisms__workload_protection__0005__chunk_0001, k8s_security_docs__docs_concepts_security_application_security_checklist__application_security_checklist__base_security_hardening__network_policies__0009__chunk_0001]","Network policy within the cluster is the next line of defense. Network policy can be used to restrict both workload and host communications to/from the cluster and the infrastructure outside of the cluster. It has the strong advantage of being workload aware (i.e., the ability to limit communication of groups of pods that make up an individual microservices) and being platform agnostic (i.e., the same techniques and policy language can be used in any environment, whether on-prem within the enter‐ prise or in public cloud). Network policy is discussed in depth later in a dedicated chapter. Finally, it is highly recommended to use perimeter firewalls, or their cloud equiva‐ lents such as security groups, to restrict traffic to/from the cluster. In most cases these are not Kubernetes workload aware, so they don’t understand individual pods and are therefore usually limited in granularity to treating the whole of the cluster as a single entity.",k8s_security_observability_book,"Enforce Pod security standards to ensure that Pods and their containers are isolated appropriately. You can also use RuntimeClasses to define custom isolation if you need it. Network policies let you control network traffic between Pods, or between Pods and the network outside your cluster. You can deploy security controls from the wider ecosystem to implement preventative or detective controls around Pods, their containers, and the images that run in them.",k8s_security_docs,"Configure NetworkPolicies to only allow expected ingress and egress traffic from the pods. Make sure that your cluster provides and enforces NetworkPolicy. If you are writing an application that users will deploy to different clusters, consider whether you can assume that NetworkPolicy is available and enforced.",k8s_security_docs
Q048,Clear V3 win: intent-enriched retrieval better surfaces the hostNetwork / NetworkPolicy interaction.,Q048,QW_V3,V3,Qwen2.5-3B-Instruct,network_policy_and_traffic_isolation,intermediate,Why are hostNetwork pods a concern in a hardened cluster?,0.8145,0.8462,0.8474,0.75,"HostNetwork pods are a concern in a hardened Kubernetes cluster because they bypass the network policies designed to enforce security boundaries within the cluster. This means that pods using HostNetwork can communicate directly with the host machine and other pods without the restrictions imposed by network policies. This can lead to vulnerabilities if not properly managed, as it allows for unauthorized access and potential data breaches. Therefore, it's crucial to avoid using HostNetwork unless absolutely necessary and to ensure that all other pods are secured with appropriate network policies.","HostNetwork pods are a concern in a hardened Kubernetes cluster because they bypass the network policies designed to enforce security boundaries within the cluster. This means that pods using HostNetwork can communicate directly with the host machine and other pods without the restrictions imposed by network policies. This can lead to vulnerabilities if not properly managed, as it allows for unauthorized access and potential data breaches. Therefore, it's crucial to avoid using HostNetwork unless absolutely necessary and to ensure that all other pods are secured with appropriate network policies.

[k8s_security_observability_book__wp_content_uploads_2023_12_kubernetes_security_and_observability_pdf__page_0051__chunk_0001, k8s_security_docs__docs_concepts_security__security__kubernetes_security_mechanisms__workload_protection__0005__chunk_0001, k8s_security_docs__docs_concepts_security_application_security_checklist__application_security_checklist__base_security_hardening__network_policies__0009__chunk_0001]","Network policy within the cluster is the next line of defense. Network policy can be used to restrict both workload and host communications to/from the cluster and the infrastructure outside of the cluster. It has the strong advantage of being workload aware (i.e., the ability to limit communication of groups of pods that make up an individual microservices) and being platform agnostic (i.e., the same techniques and policy language can be used in any environment, whether on-prem within the enter‐ prise or in public cloud). Network policy is discussed in depth later in a dedicated chapter. Finally, it is highly recommended to use perimeter firewalls, or their cloud equiva‐ lents such as security groups, to restrict traffic to/from the cluster. In most cases these are not Kubernetes workload aware, so they don’t understand individual pods and are therefore usually limited in granularity to treating the whole of the cluster as a single entity.",k8s_security_observability_book,"Enforce Pod security standards to ensure that Pods and their containers are isolated appropriately. You can also use RuntimeClasses to define custom isolation if you need it. Network policies let you control network traffic between Pods, or between Pods and the network outside your cluster. You can deploy security controls from the wider ecosystem to implement preventative or detective controls around Pods, their containers, and the images that run in them.",k8s_security_docs,"Configure NetworkPolicies to only allow expected ingress and egress traffic from the pods. Make sure that your cluster provides and enforces NetworkPolicy. If you are writing an application that users will deploy to different clusters, consider whether you can assume that NetworkPolicy is available and enforced.",k8s_security_docs
