source_id,item_id,source_type,num_docs,local_body_path
k8s_security_docs,docs_concepts_security,html,9,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_security_docs/2026-05-27T192816Z/docs_concepts_security/body.html
k8s_security_docs,docs_tasks_administer_cluster_securing_a_cluster,html,22,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_security_docs/2026-05-27T192816Z/docs_tasks_administer_cluster_securing_a_cluster/body.html
k8s_security_docs,docs_concepts_security_pod_security_standards,html,15,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_security_docs/2026-05-27T192816Z/docs_concepts_security_pod_security_standards/body.html
k8s_security_docs,docs_concepts_security_pod_security_admission,html,8,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_security_docs/2026-05-27T192816Z/docs_concepts_security_pod_security_admission/body.html
k8s_security_docs,docs_concepts_security_service_accounts,html,15,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_security_docs/2026-05-27T192816Z/docs_concepts_security_service_accounts/body.html
k8s_security_docs,docs_concepts_security_controlling_access,html,6,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_security_docs/2026-05-27T192816Z/docs_concepts_security_controlling_access/body.html
k8s_security_docs,docs_concepts_security_rbac_good_practices,html,18,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_security_docs/2026-05-27T192816Z/docs_concepts_security_rbac_good_practices/body.html
k8s_security_docs,docs_concepts_security_secrets_good_practices,html,13,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_security_docs/2026-05-27T192816Z/docs_concepts_security_secrets_good_practices/body.html
k8s_security_docs,docs_concepts_security_multi_tenancy,html,24,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_security_docs/2026-05-27T192816Z/docs_concepts_security_multi_tenancy/body.html
k8s_security_docs,docs_concepts_security_linux_security,html,2,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_security_docs/2026-05-27T192816Z/docs_concepts_security_linux_security/body.html
k8s_security_docs,docs_concepts_security_linux_kernel_security_constraints,html,16,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_security_docs/2026-05-27T192816Z/docs_concepts_security_linux_kernel_security_constraints/body.html
k8s_security_docs,docs_concepts_security_hardening_guide_authentication_mechanisms,html,9,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_security_docs/2026-05-27T192816Z/docs_concepts_security_hardening_guide_authentication_mechanisms/body.html
k8s_security_docs,docs_concepts_security_api_server_bypass_risks,html,9,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_security_docs/2026-05-27T192816Z/docs_concepts_security_api_server_bypass_risks/body.html
k8s_security_docs,docs_concepts_security_security_checklist,html,12,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_security_docs/2026-05-27T192816Z/docs_concepts_security_security_checklist/body.html
k8s_security_docs,docs_concepts_security_application_security_checklist,html,12,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_security_docs/2026-05-27T192816Z/docs_concepts_security_application_security_checklist/body.html
k8s_access_control_docs,docs_reference_access_authn_authz,html,1,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_access_control_docs/2026-05-27T192816Z/docs_reference_access_authn_authz/body.html
k8s_access_control_docs,docs_reference_access_authn_authz_authentication,html,46,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_access_control_docs/2026-05-27T192816Z/docs_reference_access_authn_authz_authentication/body.html
k8s_access_control_docs,docs_reference_access_authn_authz_authorization,html,20,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_access_control_docs/2026-05-27T192816Z/docs_reference_access_authn_authz_authorization/body.html
k8s_access_control_docs,docs_reference_access_authn_authz_rbac,html,40,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_access_control_docs/2026-05-27T192816Z/docs_reference_access_authn_authz_rbac/body.html
k8s_access_control_docs,docs_reference_access_authn_authz_admission_controllers,html,53,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_access_control_docs/2026-05-27T192816Z/docs_reference_access_authn_authz_admission_controllers/body.html
k8s_access_control_docs,docs_reference_access_authn_authz_kubelet_authn_authz,html,5,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_access_control_docs/2026-05-27T192816Z/docs_reference_access_authn_authz_kubelet_authn_authz/body.html
k8s_access_control_docs,docs_reference_access_authn_authz_bootstrap_tokens,html,8,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_access_control_docs/2026-05-27T192816Z/docs_reference_access_authn_authz_bootstrap_tokens/body.html
k8s_access_control_docs,docs_reference_access_authn_authz_kubelet_tls_bootstrapping,html,20,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_access_control_docs/2026-05-27T192816Z/docs_reference_access_authn_authz_kubelet_tls_bootstrapping/body.html
k8s_operational_security_docs,docs_concepts_services_networking_network_policies,html,22,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_operational_security_docs/2026-05-27T192816Z/docs_concepts_services_networking_network_policies/body.html
k8s_operational_security_docs,docs_tasks_administer_cluster_encrypt_data,html,27,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_operational_security_docs/2026-05-27T192816Z/docs_tasks_administer_cluster_encrypt_data/body.html
k8s_operational_security_docs,docs_tasks_debug_debug_cluster_audit,html,10,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_operational_security_docs/2026-05-27T192816Z/docs_tasks_debug_debug_cluster_audit/body.html
k8s_operational_security_docs,docs_concepts_cluster_administration_admission_webhooks_good_practices,html,37,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_operational_security_docs/2026-05-27T192816Z/docs_concepts_cluster_administration_admission_webhooks_good_practices/body.html
k8s_cve_feed,docs_reference_issues_security_official_cve_feed_index_json,json_feed,90,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_cve_feed/2026-05-27T192816Z/docs_reference_issues_security_official_cve_feed_index_json/body.json
nist_sp_800_190,nistpubs_specialpublications_nist_sp_800_190_pdf,pdf,56,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/nist_sp_800_190/2026-05-27T192816Z/nistpubs_specialpublications_nist_sp_800_190_pdf/body.pdf
owasp_k8s_cheatsheet,cheatsheets_kubernetes_security_cheat_sheet_html,html,68,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/owasp_k8s_cheatsheet/2026-05-27T192816Z/cheatsheets_kubernetes_security_cheat_sheet_html/body.html
cncf_cloud_native_security_whitepaper,community_resources_security_whitepaper_v2_cncf_cloud_native_security_whitepaper_may2022_v2_pdf,pdf,50,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/cncf_cloud_native_security_whitepaper/2026-05-27T192816Z/community_resources_security_whitepaper_v2_cncf_cloud_native_security_whitepaper_may2022_v2_pdf/body.pdf
aalto_k8s_security_thesis,server_api_core_bitstreams_d523d51a_e37d_4df4_acc6_7f3a75f44af1_content,pdf,65,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/aalto_k8s_security_thesis/2026-05-27T192816Z/server_api_core_bitstreams_d523d51a_e37d_4df4_acc6_7f3a75f44af1_content/body.pdf
k8s_security_observability_book,wp_content_uploads_2023_12_kubernetes_security_and_observability_pdf,pdf,177,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/k8s_security_observability_book/2026-05-27T192816Z/wp_content_uploads_2023_12_kubernetes_security_and_observability_pdf/body.pdf
wallarm_kubernetes_security_whitepaper,5ff66329429d880392f6cba2_60061e3fc399246789cb179c_wallarm_20whitepaper_207_20steps_20to_20kubernetes_20security_pdf,pdf,20,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/wallarm_kubernetes_security_whitepaper/2026-05-27T192816Z/5ff66329429d880392f6cba2_60061e3fc399246789cb179c_wallarm_20whitepaper_207_20steps_20to_20kubernetes_20security_pdf/body.pdf
practical_devsecops_kubernetes_security_101,wp_content_uploads_2023_10_kubernetes_security_101_pdf,pdf,18,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/practical_devsecops_kubernetes_security_101/2026-05-27T192816Z/wp_content_uploads_2023_10_kubernetes_security_101_pdf/body.pdf
redhat_kubernetes_security_pdf,tracks_pfcdn_assets_10330_contents_318568_ea1ce4f7_13d6_439d_bdf4_c804284d32ae_pdf,pdf,14,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/redhat_kubernetes_security_pdf/2026-05-27T192816Z/tracks_pfcdn_assets_10330_contents_318568_ea1ce4f7_13d6_439d_bdf4_c804284d32ae_pdf/body.pdf
aws_eks_security_docs,eks_latest_best_practices_security_html,html,6,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/aws_eks_security_docs/2026-05-27T192816Z/eks_latest_best_practices_security_html/body.html
aws_eks_security_docs,eks_latest_best_practices_pod_security_html,html,24,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/aws_eks_security_docs/2026-05-27T192816Z/eks_latest_best_practices_pod_security_html/body.html
aws_eks_security_docs,eks_latest_best_practices_network_security_html,html,34,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/aws_eks_security_docs/2026-05-27T192816Z/eks_latest_best_practices_network_security_html/body.html
aws_eks_security_docs,eks_latest_best_practices_data_encryption_and_secrets_management_html,html,12,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/aws_eks_security_docs/2026-05-27T192816Z/eks_latest_best_practices_data_encryption_and_secrets_management_html/body.html
aws_eks_security_docs,eks_latest_best_practices_incident_response_and_forensics_html,html,16,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/aws_eks_security_docs/2026-05-27T192816Z/eks_latest_best_practices_incident_response_and_forensics_html/body.html
gke_security_docs,kubernetes_engine_docs_how_to_hardening_your_cluster,html,48,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/gke_security_docs/2026-05-27T192816Z/kubernetes_engine_docs_how_to_hardening_your_cluster/body.html
gke_security_docs,kubernetes_engine_docs_concepts_security_overview,html,24,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/gke_security_docs/2026-05-27T192816Z/kubernetes_engine_docs_concepts_security_overview/body.html
gke_security_docs,kubernetes_engine_docs_concepts_about_security_in_networking,html,7,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/gke_security_docs/2026-05-27T192816Z/kubernetes_engine_docs_concepts_about_security_in_networking/body.html
aks_security_docs,en_us_azure_aks_best_practices,html,10,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/aks_security_docs/2026-05-27T192816Z/en_us_azure_aks_best_practices/body.html
aks_security_docs,en_us_azure_aks_operator_best_practices_container_image_management,html,5,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/aks_security_docs/2026-05-27T192816Z/en_us_azure_aks_operator_best_practices_container_image_management/body.html
aks_security_docs,en_us_azure_aks_network_policy_best_practices,html,27,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/aks_security_docs/2026-05-27T192816Z/en_us_azure_aks_network_policy_best_practices/body.html
aks_security_docs,en_us_azure_aks_secure_container_access,html,24,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/aks_security_docs/2026-05-27T192816Z/en_us_azure_aks_secure_container_access/body.html
kubescape_security_docs,docs_frameworks_and_controls,html,3,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/kubescape_security_docs/2026-05-27T192816Z/docs_frameworks_and_controls/body.html
kubescape_security_docs,docs_controls,html,1,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/kubescape_security_docs/2026-05-27T192816Z/docs_controls/body.html
kubescape_security_docs,docs_scanning,html,12,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/kubescape_security_docs/2026-05-27T192816Z/docs_scanning/body.html
kubescape_security_docs,docs_guides_kubescape_cli,html,13,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/kubescape_security_docs/2026-05-27T192816Z/docs_guides_kubescape_cli/body.html
kubescape_security_docs,docs_operator,html,8,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/kubescape_security_docs/2026-05-27T192816Z/docs_operator/body.html
gatekeeper_policy_docs,gatekeeper_website,html,5,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/gatekeeper_policy_docs/2026-05-27T192816Z/gatekeeper_website/body.html
gatekeeper_policy_docs,gatekeeper_website_docs_library,html,1,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/gatekeeper_policy_docs/2026-05-27T192816Z/gatekeeper_website_docs_library/body.html
gatekeeper_policy_docs,gatekeeper_website_docs_security,html,4,/content/drive/MyDrive/Advance-AI-Assign-3/a1974524_a3/data/raw/gatekeeper_policy_docs/2026-05-27T192816Z/gatekeeper_website_docs_security/body.html
